Salvirola comune,Salvirola comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Nicola Marani (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°21′N 9°47′E
Altitudine,74 m s.l.m.
Superficie,"7,36 km²"
Abitanti,1 144[1] (30-11-2025)
Densità,"155,43 ab./km²"
Frazioni,"Albera, Ronco Todeschino"
Comuni confinanti,"Fiesco, Izano, Romanengo, Ticengo, Trigolo"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019087
Cod. catastale,H731
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 320 GG[3]"
Nome abitanti,salvirolesi
Patrono,San Pietro e sant'Antonio abate
Cartografia,Cartografia
Salvirola,Salvirola
Salvirola – MappaPosizione del comune di Salvirola nella provincia di Cremona,Salvirola – MappaPosizione del comune di Salvirola nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
