Gerre de' Caprioli comune,Gerre de' Caprioli comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Michel Marchi (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°05′N 10°03′E
Altitudine,37 m s.l.m.
Superficie,"7,72 km²"
Abitanti,1 315[1] (30-11-2025)
Densità,"170,34 ab./km²"
Frazioni,Bosco ex Parmigiano
Comuni confinanti,"Castelvetro Piacentino (PC), Cremona, Stagno Lombardo"
Altre informazioni,Altre informazioni
Cod. postale,26040
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019048
Cod. catastale,D993
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,gerrini
Cartografia,Cartografia
Gerre de' Caprioli,Gerre de' Caprioli
Gerre de' Caprioli – MappaPosizione del comune di Gerre de' Caprioli nella provincia di Cremona,Gerre de' Caprioli – MappaPosizione del comune di Gerre de' Caprioli nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
