Chieve comune,Chieve comune.1
,
Chieve – VedutaLa chiesa di San Giorgio Martire situata in piazza Roma,Chieve – VedutaLa chiesa di San Giorgio Martire situata in piazza Roma
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Orietta Berti (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°21′N 9°37′E
Altitudine,77 m s.l.m.
Superficie,"6,19 km²"
Abitanti,2 278[1] (30-11-2025)
Densità,"368,01 ab./km²"
Frazioni,Il Palo (area industriale)
Comuni confinanti,"Bagnolo Cremasco, Capergnanica, Casaletto Ceredano, Crespiatica (LO)"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019029
Cod. catastale,C634
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,chievesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Chieve,Chieve
Chieve – MappaPosizione del comune di Chieve nella provincia di Cremona,Chieve – MappaPosizione del comune di Chieve nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
