Corte de' Frati comune,Corte de' Frati comune.1
,
Corte de' Frati – Veduta,Corte de' Frati – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Giuseppe Rossetti (lista civica) dal 22-9-2020[1]
Territorio,Territorio
Coordinate,45°13′N 10°06′E
Altitudine,51 m s.l.m.
Superficie,"20,41 km²"
Abitanti,1 307[2] (30-11-2025)
Densità,"64,04 ab./km²"
Frazioni,"Alfiano, Aspice, Grumone, San Sillo, Noci Garioni"
Comuni confinanti,"Alfianello (BS), Grontardo, Olmeneta, Persico Dosimo, Pontevico (BS), Pozzaglio ed Uniti, Robecco d'Oglio, Scandolara Ripa d'Oglio"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019033
Cod. catastale,D057
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 389 GG[4]"
Nome abitanti,cortigiani
Cartografia,Cartografia
Corte de' Frati,Corte de' Frati
Corte de' Frati – MappaPosizione del comune di Corte de' Frati nella provincia di Cremona,Corte de' Frati – MappaPosizione del comune di Corte de' Frati nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
