Peccioli comune,Peccioli comune.1
,
Peccioli – VedutaPanorama di Peccioli,Peccioli – VedutaPanorama di Peccioli
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Renzo Macelloni (Peccioli futura) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°33′N 10°43′E
Altitudine,144 m s.l.m.
Superficie,"92,52 km²"
Abitanti,4 634[1] (30-11-2025)
Densità,"50,09 ab./km²"
Frazioni,"Cedri, Fabbrica, Ghizzano, Legoli, Libbiano, Montecchio, Montelopio"
Comuni confinanti,"Capannoli, Lajatico, Montaione (FI), Palaia, Terricciola, Volterra"
Altre informazioni,Altre informazioni
Cod. postale,56037
Prefisso,0587
Fuso orario,UTC+1
Codice ISTAT,050025
Cod. catastale,G395
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 772 GG[3]"
Nome abitanti,"pecciolese, pecciolesi[4]"
Patrono,san Verano di Cavaillon
Cartografia,Cartografia
Peccioli,Peccioli
Peccioli – MappaPosizione del comune di Peccioli all'interno della provincia di Pisa,Peccioli – MappaPosizione del comune di Peccioli all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
