Santa Luce comune,Santa Luce comune.1
,
Santa Luce – Veduta,Santa Luce – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Giamila Carli (PD) dal 6-6-2016
Territorio,Territorio
Coordinate,43°28′17.15″N 10°33′45.68″E
Altitudine,200 m s.l.m.
Superficie,"66,62 km²"
Abitanti,1 581[1] (30-11-2025)
Densità,"23,73 ab./km²"
Frazioni,"Pastina, Pieve Santa Luce, Pomaia[2]"
Comuni confinanti,"Casciana Terme Lari, Castellina Marittima, Chianni, Crespina Lorenzana, Orciano Pisano, Rosignano Marittimo (LI)"
Altre informazioni,Altre informazioni
Cod. postale,56040
Prefisso,050
Fuso orario,UTC+1
Codice ISTAT,050034
Cod. catastale,I217
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 824 GG[4]"
Nome abitanti,"santalucese, santalucesi[5]"
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Santa Luce,Santa Luce
Santa Luce – MappaPosizione del comune di Santa Luce all'interno della provincia di Pisa,Santa Luce – MappaPosizione del comune di Santa Luce all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
