Vicopisano comune,Vicopisano comune.1
,
Vicopisano – Veduta,Vicopisano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Matteo Ferrucci (lista civica) dal 27-5-2019 (2º mandato dal 10-5-2024)
Territorio,Territorio
Coordinate,43°41′56.9″N 10°34′59.2″E
Altitudine,12 m s.l.m.
Superficie,"26,85 km²"
Abitanti,8 570[1] (30-11-2025)
Densità,"319,18 ab./km²"
Frazioni,"Caprona, Cevoli, Cucigliana, Guerrazzi, Lugnano, Noce, San Giovanni alla Vena, Uliveto Terme[2]"
Comuni confinanti,"Bientina, Buti, Calci, Calcinaia, Cascina, San Giuliano Terme"
Altre informazioni,Altre informazioni
Cod. postale,56010
Prefisso,050
Fuso orario,UTC+1
Codice ISTAT,050038
Cod. catastale,L850
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 858 GG[4]"
Nome abitanti,"vicarese, vicaresi[5]"
Patrono,Madonna del Rosario
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Vicopisano,Vicopisano
Vicopisano – MappaPosizione del comune di Vicopisano all'interno della provincia di Pisa,Vicopisano – MappaPosizione del comune di Vicopisano all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
