Montescudaio comune,Montescudaio comune.1
,
Montescudaio – Veduta,Montescudaio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Loris Caprai (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°19′34.29″N 10°37′32.45″E
Altitudine,242 m s.l.m.
Superficie,"20,24 km²"
Abitanti,2 194[1] (30-11-2025)
Densità,"108,4 ab./km²"
Frazioni,Fiorino[2]
Comuni confinanti,"Cecina (LI), Guardistallo, Montecatini Val di Cecina, Riparbella"
Altre informazioni,Altre informazioni
Cod. postale,56040
Prefisso,0586
Fuso orario,UTC+1
Codice ISTAT,050020
Cod. catastale,F640
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 879 GG[4]"
Nome abitanti,"montescudaino, montescudaini[5]"
Patrono,Assunzione di Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Montescudaio,Montescudaio
Montescudaio – MappaPosizione del comune di Montescudaio all'interno della provincia di Pisa,Montescudaio – MappaPosizione del comune di Montescudaio all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
