Casale Marittimo comune,Casale Marittimo comune.1
,
Casale Marittimo – VedutaPanorama di Casale Marittimo,Casale Marittimo – VedutaPanorama di Casale Marittimo
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Claudia Manzi (lista civica di centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1862
Territorio,Territorio
Coordinate,43°17′51″N 10°37′00″E
Altitudine,247 m s.l.m.
Superficie,"14,29 km²"
Abitanti,1 049[1] (30-11-2025)
Densità,"73,41 ab./km²"
Frazioni,"Terra Dei Ceci, Il Montaleo"
Comuni confinanti,"Bibbona (LI), Cecina (LI), Guardistallo"
Altre informazioni,Altre informazioni
Cod. postale,56040
Prefisso,0586
Fuso orario,UTC+1
Codice ISTAT,050006
Cod. catastale,B878
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 843 GG[3]"
Nome abitanti,"casalese, casalesi"
Patrono,Sant'Andrea
Giorno festivo,"Template:8 settembre, detto anche ""il dìotto"""
Cartografia,Cartografia
Casale Marittimo,Casale Marittimo
Casale Marittimo – MappaPosizione del comune di Casale Marittimo all'interno della provincia di Pisa,Casale Marittimo – MappaPosizione del comune di Casale Marittimo all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
