Orciano Pisano comune,Orciano Pisano comune.1
,
Orciano Pisano – Veduta,Orciano Pisano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Giuliana Menci Filippi (lista civica di centro-destra Uniti per Orciano) dal 30-3-2010
Territorio,Territorio
Coordinate,43°30′N 10°31′E
Altitudine,122 m s.l.m.
Superficie,"11,62 km²"
Abitanti,637[1] (30-11-2025)
Densità,"54,82 ab./km²"
Comuni confinanti,"Collesalvetti (LI), Crespina Lorenzana, Fauglia, Rosignano Marittimo (LI), Santa Luce"
Altre informazioni,Altre informazioni
Cod. postale,56040
Prefisso,050
Fuso orario,UTC+1
Codice ISTAT,050023
Cod. catastale,G090
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 743 GG[3]"
Nome abitanti,"orcianese, orcianesi[4]"
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Orciano Pisano,Orciano Pisano
Orciano Pisano – MappaPosizione del comune di Orciano Pisano all'interno della provincia di Pisa,Orciano Pisano – MappaPosizione del comune di Orciano Pisano all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
