Provincia di Pisa provincia,Provincia di Pisa provincia.1
,
Provincia di Pisa – VedutaIl palazzo sede della provincia pisana,Provincia di Pisa – VedutaIl palazzo sede della provincia pisana
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Amministrazione,Amministrazione
Capoluogo,Pisa
Presidente,Massimiliano Angori (PD) dal 31-10-2018
Territorio,Territorio
Coordinate del capoluogo,43°43′N 10°24′E
Superficie,"2 444,72 km²"
Abitanti,419 494[1] (31-10-2025)
Densità,"171,59 ab./km²"
Comuni,37 comuni
Province confinanti,"Firenze, Grosseto, Livorno, Lucca, Siena"
Altre informazioni,Altre informazioni
Cod. postale,"56121-56128 Pisa, 56010-56048 provincia"
Prefisso,"050, 0565, 0571, 0583, 0586, 0587, 0588"
Fuso orario,UTC+1
ISO 3166-2,IT-PI
Codice ISTAT,050
Targa,PI
Cartografia,Cartografia
Provincia di Pisa – Localizzazione,Provincia di Pisa – Localizzazione
Provincia di Pisa – MappaPosizione della provincia di Pisa all'interno della Toscana.,Provincia di Pisa – MappaPosizione della provincia di Pisa all'interno della Toscana.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
