Riparbella comune,Riparbella comune.1
,
Riparbella – Veduta,Riparbella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Salvatore Neri (lista civica Siamo Riparbella) dal 12-6-2017
Territorio,Territorio
Coordinate,43°22′N 10°36′E
Altitudine,216 m s.l.m.
Superficie,"58,84 km²"
Abitanti,1 685[1] (30-11-2025)
Densità,"28,64 ab./km²"
Comuni confinanti,"Castellina Marittima, Cecina (LI), Chianni, Lajatico, Montecatini Val di Cecina, Montescudaio"
Altre informazioni,Altre informazioni
Cod. postale,56046
Prefisso,0586
Fuso orario,UTC+1
Codice ISTAT,050030
Cod. catastale,H319
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 845 GG[3]"
Nome abitanti,"riparbellino, riparbellini[4]"
Cartografia,Cartografia
Riparbella,Riparbella
Riparbella – MappaPosizione del comune di Riparbella all'interno della provincia di Pisa,Riparbella – MappaPosizione del comune di Riparbella all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
