Bientina comune,Bientina comune.1
,
Bientina – VedutaPanorama di Bientina,Bientina – VedutaPanorama di Bientina
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Dario Carmassi (lista civica di centro-sinistra Uniti per Bientina) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,43°42′26″N 10°37′14″E
Altitudine,10 m s.l.m.
Superficie,"29,48 km²"
Abitanti,8 681[1] (30-11-2025)
Densità,"294,47 ab./km²"
Frazioni,"Caccialupi, Puntone, Quattro Strade, Santa Colomba[2]"
Comuni confinanti,"Altopascio (LU), Buti, Calcinaia, Capannori (LU), Castelfranco di Sotto, Santa Maria a Monte, Vicopisano"
Altre informazioni,Altre informazioni
Cod. postale,56031
Prefisso,0587
Fuso orario,UTC+1
Codice ISTAT,050001
Cod. catastale,A864
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 856 GG[4]"
Nome abitanti,bientinesi[5]
Patrono,san Valentino Martire
Giorno festivo,lunedì di Pentecoste
Cartografia,Cartografia
Bientina,Bientina
Bientina – MappaPosizione del comune di Bientina all'interno della provincia di Pisa,Bientina – MappaPosizione del comune di Bientina all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
