Cascina comune,Cascina comune.1
(IT) Càscina,(IT) Càscina
,
Cascina – VedutaCorso Giacomo Matteotti,Cascina – VedutaCorso Giacomo Matteotti
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Michelangelo Betti (PD) dal 6-10-2020
Territorio,Territorio
Coordinate,43°40′48″N 10°30′01″E
Altitudine,8 m s.l.m.
Superficie,"78,61 km²"
Abitanti,44 831[1] (30-11-2025)
Densità,"570,3 ab./km²"
Frazioni,"Arnaccio, Casciavola, Laiano, Latignano, Marciana, Montione, Musigliano, Navacchio, Pettori, Ripoli, San Benedetto, San Casciano, San Frediano a Settimo, San Giorgio a Bibbiano, San Lorenzo a Pagnatico, San Lorenzo alle Corti, San Prospero, San Sisto al Pino, Santo Stefano a Macerata, Titignano, Visignano, Zambra"
Comuni confinanti,"Calcinaia, Collesalvetti (LI), Casciana Terme Lari, Crespina Lorenzana, Pisa, Pontedera, San Giuliano Terme, Vicopisano"
Altre informazioni,Altre informazioni
Cod. postale,56021 e 56023
Prefisso,050
Fuso orario,UTC+1
Codice ISTAT,050008
Cod. catastale,B950
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 853 GG[3]"
Nome abitanti,"cascinese, cascinesi[4]"
Patrono,"san Sebastiano, santi Innocenzo e Fiorentino"
Giorno festivo,"20 gennaio, primo martedì dopo l'ultimo lunedì di maggio"
Motto,"""Fides"""
Cartografia,Cartografia
Cascina,Cascina
Cascina – MappaPosizione del comune di Cascina all'interno della provincia di Pisa,Cascina – MappaPosizione del comune di Cascina all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
