Calcinaia comune,Calcinaia comune.1
,
Calcinaia – VedutaVista di Calcinaia dall'Arno,Calcinaia – VedutaVista di Calcinaia dall'Arno
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Cristiano Alderigi (lista civica di centro-sinistra Uniti per Calcinaia) dal 27-5-2019
Territorio,Territorio
Coordinate,43°41′00.67″N 10°36′59.51″E
Altitudine,16 m s.l.m.
Superficie,"14,89 km²"
Abitanti,12 840[1] (30-11-2025)
Densità,"862,32 ab./km²"
Frazioni,Fornacette[2]
Comuni confinanti,"Bientina, Cascina, Pontedera, Santa Maria a Monte, Vicopisano"
Altre informazioni,Altre informazioni
Cod. postale,56012
Prefisso,0587
Fuso orario,UTC+1
Codice ISTAT,050004
Cod. catastale,B392
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 864 GG[4]"
Nome abitanti,"calcinaioli,[5] calcinaiesi (antico)[5]"
Patrono,santa Ubaldesca
Giorno festivo,29 maggio
Cartografia,Cartografia
Calcinaia,Calcinaia
Calcinaia – MappaPosizione del comune di Calcinaia all'interno della provincia di Pisa,Calcinaia – MappaPosizione del comune di Calcinaia all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
