Casciana Terme Lari comune,Casciana Terme Lari comune.1
,
Casciana Terme Lari – VedutaTerme,Casciana Terme Lari – VedutaTerme
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Paolo Mori (lista civica) dal 10-6-2024
Data di istituzione,1º gennaio 2014
Territorio,Territorio
Coordinate,43°34′08″N 10°35′37″E
Altitudine,127 m s.l.m.
Superficie,"81,40[1] km²"
Abitanti,12 095[2] (30-11-2025)
Densità,"148,59 ab./km²"
Frazioni,"Casciana Alta, Casciana Terme, Ceppato, Cevoli, Collemontanino, Lari (sede comunale), Lavaiano, Parlascio, Perignano, Sant'Ermo, San Ruffino, Usigliano[3][4]"
Comuni confinanti,"Capannoli, Cascina, Chianni, Crespina Lorenzana, Santa Luce, Ponsacco, Pontedera, Terricciola"
Altre informazioni,Altre informazioni
Cod. postale,56035 (Lari); 56034 (Casciana Terme)
Prefisso,0587
Fuso orario,UTC+1
Codice ISTAT,050040
Cod. catastale,M327
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[5]
Nome abitanti,cascianesi e larigiani
Cartografia,Cartografia
Casciana Terme Lari,Casciana Terme Lari
Casciana Terme Lari – MappaPosizione del comune di Casciana Terme Lari nella provincia di Pisa,Casciana Terme Lari – MappaPosizione del comune di Casciana Terme Lari nella provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
