Castelfranco di Sotto comune,Castelfranco di Sotto comune.1
,
Castelfranco di Sotto – VedutaCampanile di Castelfranco visto da Corso Remo Bertoncini,Castelfranco di Sotto – VedutaCampanile di Castelfranco visto da Corso Remo Bertoncini
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Fabio Mini (lista civica di centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,43°42′N 10°45′E
Altitudine,16 m s.l.m.
Superficie,"48,33 km²"
Abitanti,13 745[1] (30-11-2025)
Densità,"284,4 ab./km²"
Frazioni,"Galleno, Orentano, Villa Campanile[2]"
Comuni confinanti,"Altopascio (LU), Bientina, Fucecchio (FI), Montopoli in Val d'Arno, San Miniato, Santa Croce sull'Arno, Santa Maria a Monte"
Altre informazioni,Altre informazioni
Cod. postale,56022
Prefisso,0571-0583
Fuso orario,UTC+1
Codice ISTAT,050009
Cod. catastale,C113
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 864 GG[4]"
Nome abitanti,castelfranchesi[5]
Patrono,san Severo Martire
Giorno festivo,18 novembre
Cartografia,Cartografia
Castelfranco di Sotto,Castelfranco di Sotto
Castelfranco di Sotto – MappaPosizione del comune di Castelfranco di Sotto all'interno della provincia di Pisa,Castelfranco di Sotto – MappaPosizione del comune di Castelfranco di Sotto all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
