Terricciola comune,Terricciola comune.1
,
Terricciola – Veduta,Terricciola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Matteo Arcenni (lista civica Terricciola SiCura 2030) dal 10-6-2024
Territorio,Territorio
Coordinate,43°31′32″N 10°40′51″E
Altitudine,180 m s.l.m.
Superficie,"43,28 km²"
Abitanti,4 384[1] (30-11-2025)
Densità,"101,29 ab./km²"
Frazioni,"Chientina, La Rosa, La Sterza, Morrona, Selvatelle, Soiana, Soianella[2]"
Comuni confinanti,"Capannoli, Casciana Terme Lari, Chianni, Lajatico, Peccioli"
Altre informazioni,Altre informazioni
Cod. postale,56030
Prefisso,0587
Fuso orario,UTC+1
Codice ISTAT,050036
Cod. catastale,L138
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 819 GG[4]"
Nome abitanti,"terricciolese, terricciolesi;[5] terricciolini, terricciolini[5]"
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Terricciola,Terricciola
Terricciola – MappaPosizione del comune di Terricciola all'interno della provincia di Pisa,Terricciola – MappaPosizione del comune di Terricciola all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
