San Giuliano Terme comune,San Giuliano Terme comune.1
,
San Giuliano Terme – Veduta,San Giuliano Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Matteo Cecchelli (PD) dal 10-6-2024
Data di istituzione,12-6-2024
Territorio,Territorio
Coordinate,43°45′45″N 10°26′29″E
Altitudine,6 m s.l.m.
Superficie,"91,77 km²"
Abitanti,30 876[1] (30-11-2025)
Densità,"336,45 ab./km²"
Frazioni,"Agnano, Arena Metato, Asciano Pisano, Campo, Colignola, Colognole, Gello, Ghezzano, Madonna dell'Acqua, Mezzana, Molina di Quosa, Orzignano, Pappiana, Patrignone, Pontasserchio, Pugnano, Rigoli, Ripafratta, San Martino a Ulmiano, Sant'Andrea in Pescaiola[2]"
Comuni confinanti,"Calci, Capannori (LU), Cascina, Lucca (LU), Pisa, Vecchiano, Vicopisano"
Altre informazioni,Altre informazioni
Cod. postale,"56017; 56010 (Campo, Mezzana)"
Prefisso,050
Fuso orario,UTC+1
Codice ISTAT,050031
Cod. catastale,A562
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 696 GG[4]"
Nome abitanti,"sangiulianese, sangiulianesi[5]; bagnaiolo, bagnaioli[5]"
Patrono,san Bartolomeo Apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
San Giuliano Terme,San Giuliano Terme
San Giuliano Terme – MappaPosizione del comune di San Giuliano Terme all'interno della provincia di Pisa,San Giuliano Terme – MappaPosizione del comune di San Giuliano Terme all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
