Pomarance comune,Pomarance comune.1
,
Pomarance – VedutaPiazza de Larderel,Pomarance – VedutaPiazza de Larderel
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Graziano Pacini (La Sinistra per Pomarance Bene Comune) dal 9-6-2024
Territorio,Territorio
Coordinate,43°17′59″N 10°52′25″E
Altitudine,370 m s.l.m.
Superficie,"227,71 km²"
Abitanti,5 266[1] (30-11-2025)
Densità,"23,13 ab./km²"
Frazioni,"Larderello, Libbiano, Lustignano, Micciano, Montecerboli, Montegemoli, San Dalmazio, Serrazzano[2]"
Comuni confinanti,"Casole d'Elsa (SI), Castelnuovo di Val di Cecina, Montecatini Val di Cecina, Monterotondo Marittimo (GR), Monteverdi Marittimo, Radicondoli (SI), Volterra"
Altre informazioni,Altre informazioni
Cod. postale,"56045, 56044"
Prefisso,0588
Fuso orario,UTC+1
Codice ISTAT,050027
Cod. catastale,G804
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 874 GG[4]"
Nome abitanti,"pomarancino, pomarancini;[5] pomarancese, pomarancesi (antico)[5]"
Patrono,san Vittore
Giorno festivo,9 ottobre
Cartografia,Cartografia
Pomarance,Pomarance
Pomarance – MappaPosizione del comune di Pomarance all'interno della provincia di Pisa,Pomarance – MappaPosizione del comune di Pomarance all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
