San Miniato comune,San Miniato comune.1
,
San Miniato – Veduta,San Miniato – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Simone Giglioli (PD) dal 9-6-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°41′N 10°51′E
Altitudine,190 m s.l.m.
Superficie,"102,5 km²"
Abitanti,27 781[1] (30-11-2025)
Densità,"271,03 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Castelfiorentino (FI), Castelfranco di Sotto, Cerreto Guidi (FI), Empoli (FI), Fucecchio (FI), Montaione (FI), Montopoli in Val d'Arno, Palaia, Santa Croce sull'Arno"
Altre informazioni,Altre informazioni
Cod. postale,"56028, 56024"
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,050032
Cod. catastale,I046
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 513 GG[3]"
Nome abitanti,"samminiatesi[4][5], sanminiatesi"
Patrono,san Genesio
Giorno festivo,25 agosto
Motto,"Sic nos in sceptra reponis (Così ci ricollochi nel regno, oppure anche Così ci restituisci agli antichi onori)."
Cartografia,Cartografia
San Miniato,San Miniato
San Miniato – MappaPosizione del comune di San Miniato all'interno della provincia di Pisa,San Miniato – MappaPosizione del comune di San Miniato all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
