Pisa comune,Pisa comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Pisa – VedutaVista aerea della città con l'Arno,Pisa – VedutaVista aerea della città con l'Arno
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Michele Conti (Lega) dal 27-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,43°43′N 10°24′E
Altitudine,4 m s.l.m.
Superficie,"185,07 km²"
Abitanti,90 089[1] (30-11-2025)
Densità,"486,78 ab./km²"
Frazioni,"Calambrone, Coltano, Marina di Pisa, San Piero a Grado-La Vettola, San Rossore, Tirrenia"
Comuni confinanti,"Cascina, Collesalvetti (LI), Livorno (LI), San Giuliano Terme"
Altre informazioni,Altre informazioni
Cod. postale,56100 e 56121–56128
Prefisso,050
Fuso orario,UTC+1
Codice ISTAT,050026
Cod. catastale,G702
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 694 GG[3]"
Nome abitanti,pisani/e[4]
Patrono,san Ranieri
Giorno festivo,17 giugno
Cartografia,Cartografia
Pisa,Pisa
Pisa – MappaPosizione del comune di Pisa all'interno dell'omonima provincia,Pisa – MappaPosizione del comune di Pisa all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
