Guardistallo comune,Guardistallo comune.1
,
Guardistallo – Veduta,Guardistallo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Sandro Ceccarelli (lista civica Tutti Insieme Per Guardistallo) dal 26-5-2014
Territorio,Territorio
Coordinate,43°18′49″N 10°38′00″E
Altitudine,278 m s.l.m.
Superficie,"23,61 km²"
Abitanti,1 189[1] (30-11-2025)
Densità,"50,36 ab./km²"
Frazioni,"Casino di Terra, Valserena"
Comuni confinanti,"Bibbona (LI), Casale Marittimo, Cecina (LI), Montecatini Val di Cecina, Montescudaio"
Altre informazioni,Altre informazioni
Cod. postale,56040
Prefisso,0586
Fuso orario,UTC+1
Codice ISTAT,050015
Cod. catastale,E250
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 927 GG[3]"
Nome abitanti,"guardistallino, guardistallini[4]"
Patrono,san Lorenzo e sant'Agata
Giorno festivo,10 agosto
Cartografia,Cartografia
Guardistallo,Guardistallo
Guardistallo – MappaPosizione del comune di Guardistallo all'interno della provincia di Pisa,Guardistallo – MappaPosizione del comune di Guardistallo all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
