Santa Croce sull'Arno comune,Santa Croce sull'Arno comune.1
,
Santa Croce sull'Arno – Veduta,Santa Croce sull'Arno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,"Roberto Giannoni (Insieme con Giannoni Sindaco, lista civica di centro-destra) dall'11-6-2024"
Territorio,Territorio
Coordinate,43°43′12.72″N 10°46′21.72″E
Altitudine,18 m s.l.m.
Superficie,"16,79 km²"
Abitanti,15 082[1] (30-11-2025)
Densità,"898,27 ab./km²"
Frazioni,"Staffoli[2], Cerri, Castellare, Chimenti"
Comuni confinanti,"Castelfranco di Sotto, Fucecchio (FI), San Miniato"
Altre informazioni,Altre informazioni
Cod. postale,56029
Prefisso,0571
Fuso orario,UTC+1
Codice ISTAT,050033
Cod. catastale,I177
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 866 GG[4]"
Nome abitanti,"santacrocese, santacrocesi[5]"
Patrono,beata Cristiana da Santa Croce
Giorno festivo,4 gennaio
Cartografia,Cartografia
Santa Croce sull'Arno,Santa Croce sull'Arno
Santa Croce sull'Arno – MappaPosizione del comune di Santa Croce sull'Arno all'interno della provincia di Pisa,Santa Croce sull'Arno – MappaPosizione del comune di Santa Croce sull'Arno all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
