Calci comune,Calci comune.1
,
Calci – Veduta,Calci – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Massimiliano Ghimenti (centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°43′28″N 10°31′09″E
Altitudine,50 m s.l.m.
Superficie,"25,17 km²"
Abitanti,6 272[1] (30-11-2025)
Densità,"249,19 ab./km²"
Frazioni,"La Pieve (sede comunale), Castelmaggiore, Il Colle-Villa, Crespignano-La Corte-San Piero, La Gabella, Montemagno-San Lorenzo, Pontegrande-Sant'Andrea, Rezzano-Nicosia, Tre Colli, Monte Serra.[2]"
Comuni confinanti,"Buti, Capannori (LU), San Giuliano Terme, Vicopisano"
Altre informazioni,Altre informazioni
Cod. postale,56011
Prefisso,050
Fuso orario,UTC+1
Codice ISTAT,050003
Cod. catastale,B390
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 628 GG[4]"
Nome abitanti,"calcesano, calcesani;[5] calcisano, calcisani;[5] calcese, calcesi[5]"
Patrono,sant'Ermolao
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Calci,Calci
Calci – MappaPosizione del comune di Calci all'interno della provincia di Pisa,Calci – MappaPosizione del comune di Calci all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
