Crespina Lorenzana comune,Crespina Lorenzana comune.1
,
Crespina Lorenzana – Veduta,Crespina Lorenzana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Capoluogo,Crespina
Sindaco,David Bacci[1] (lista civica Insieme per Crespina Lorenzana) dal 10-6-2024
Data di istituzione,1º gennaio 2014
Territorio,Territorio
Coordinate del capoluogo,43°34′26″N 10°33′55″E
Altitudine,86 m s.l.m.
Superficie,"46,43[2] km²"
Abitanti,5 338[3] (30-11-2025)
Densità,"114,97 ab./km²"
Frazioni,"Cenaia, Crespina (sede comunale), Laura, Lorenzana, Tremoleto, Tripalle"
Comuni confinanti,"Casciana Terme Lari, Cascina, Collesalvetti (LI), Fauglia, Orciano Pisano, Santa Luce"
Altre informazioni,Altre informazioni
Cod. postale,56042 (Lorenzana); 56040 (Crespina)
Prefisso,050
Fuso orario,UTC+1
Codice ISTAT,050041
Cod. catastale,M328
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[4]
Nome abitanti,crespinesi e lorenzanesi
Cartografia,Cartografia
Crespina,Crespina
Crespina Lorenzana – MappaPosizione del comune di Crespina Lorenzana nella provincia di Pisa,Crespina Lorenzana – MappaPosizione del comune di Crespina Lorenzana nella provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
