Ponsacco comune,Ponsacco comune.1
,
Ponsacco – Veduta,Ponsacco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,"Gabriele Gasperini (lista civica di centro-destra ""Ponsacco SI.cura"") dal 9-6-2024"
Territorio,Territorio
Coordinate,43°37′N 10°38′E
Altitudine,24 m s.l.m.
Superficie,"20,90 km²"
Abitanti,15 687[1] (30-11-2025)
Densità,"750,57 ab./km²"
Frazioni,"Camugliano, Le Melorie, Val di Cava"
Comuni confinanti,"Capannoli, Casciana Terme Lari, Pontedera"
Altre informazioni,Altre informazioni
Cod. postale,56038
Prefisso,0587
Fuso orario,UTC+1
Codice ISTAT,050028
Cod. catastale,G822
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 874 GG[3]"
Nome abitanti,"ponsacchino, ponsacchini;[4] ponsacchese, ponsacchesi (antico);[4]"
Patrono,san Costanzo Martire; san Giovanni Evangelista
Giorno festivo,Il secondo Lunedì dopo la prima Domenica di Ottobre
Cartografia,Cartografia
Ponsacco,Ponsacco
Ponsacco – MappaPosizione del comune di Ponsacco all'interno della provincia di Pisa,Ponsacco – MappaPosizione del comune di Ponsacco all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
