Vecchiano comune,Vecchiano comune.1
,
Vecchiano – VedutaPiazza Garibaldi,Vecchiano – VedutaPiazza Garibaldi
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Massimiliano Angori (Lista civica Insieme per Vecchiano) dal 6-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,43°47′N 10°23′E
Altitudine,5 m s.l.m.
Superficie,"67,58 km²"
Abitanti,11 834[1] (30-11-2025)
Densità,"175,11 ab./km²"
Frazioni,"Avane, Filettole, Migliarino Pisano, Nodica[2]"
Comuni confinanti,"Lucca (LU), Massarosa (LU), San Giuliano Terme, Viareggio (LU)"
Altre informazioni,Altre informazioni
Cod. postale,56019
Prefisso,050
Fuso orario,UTC+1
Codice ISTAT,050037
Cod. catastale,L702
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 600 GG[4]"
Nome abitanti,"vecchianese, vecchianesi[5]"
Patrono,sant'Alessandro
Giorno festivo,3 maggio
Cartografia,Cartografia
Vecchiano,Vecchiano
Vecchiano – MappaPosizione del comune di Vecchiano all'interno della provincia di Pisa,Vecchiano – MappaPosizione del comune di Vecchiano all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
