Monteverdi Marittimo comune,Monteverdi Marittimo comune.1
,
Monteverdi Marittimo – Veduta,Monteverdi Marittimo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Francesco Govi (lista civica Crescere insieme) dal 27-5-2019
Territorio,Territorio
Coordinate,43°11′N 10°43′E
Altitudine,364 m s.l.m.
Superficie,"98,09 km²"
Abitanti,772[1] (30-11-2025)
Densità,"7,87 ab./km²"
Frazioni,Canneto[2]
Comuni confinanti,"Bibbona (LI), Castagneto Carducci (LI), Montecatini Val di Cecina, Monterotondo Marittimo (GR), Pomarance, Sassetta (LI), Suvereto (LI)"
Altre informazioni,Altre informazioni
Cod. postale,56040
Prefisso,0565
Fuso orario,UTC+1
Codice ISTAT,050021
Cod. catastale,F661
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 2 039 GG[4]"
Nome abitanti,"monteverdino, monteverdini[5]"
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Monteverdi Marittimo,Monteverdi Marittimo
Monteverdi Marittimo – MappaPosizione del comune di Monteverdi Marittimo all'interno della provincia di Pisa,Monteverdi Marittimo – MappaPosizione del comune di Monteverdi Marittimo all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
