Buti comune,Buti comune.1
,
Buti – VedutaPanorama di Buti,Buti – VedutaPanorama di Buti
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pisa
Amministrazione,Amministrazione
Sindaco,Arianna Buti (lista civica Insieme per Buti) dal 4-10-2021
Territorio,Territorio
Coordinate,43°43′47″N 10°35′12″E
Altitudine,85 m s.l.m.
Superficie,"23,03 km²"
Abitanti,5 533[1] (30-11-2025)
Densità,"240,25 ab./km²"
Frazioni,"Cascine di Buti, La Croce[2]"
Comuni confinanti,"Bientina, Calci, Capannori (LU), Vicopisano"
Altre informazioni,Altre informazioni
Cod. postale,56032
Prefisso,0587
Fuso orario,UTC+1
Codice ISTAT,050002
Cod. catastale,B303
Targa,PI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 674 GG[4]"
Nome abitanti,butesi[5]
Giorno festivo,11 settembre
Cartografia,Cartografia
Buti,Buti
Buti – MappaPosizione del comune di Buti all'interno della provincia di Pisa,Buti – MappaPosizione del comune di Buti all'interno della provincia di Pisa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
