Villa San Pietro comune,Villa San Pietro comune.1
(IT) Villa San Pietro (SC) Santu Perdu,(IT) Villa San Pietro (SC) Santu Perdu
,
"Villa San Pietro – VedutaChiesa romanica di San Pietro, abside","Villa San Pietro – VedutaChiesa romanica di San Pietro, abside"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Marina Madeddu (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,39°02′07.94″N 8°59′49.02″E
Altitudine,37 m s.l.m.
Superficie,"39,89 km²"
Abitanti,2 101[1] (30-11-2025)
Densità,"52,67 ab./km²"
Comuni confinanti,"Assemini (isola amministrativa di San Leone), Pula, Santadi (CI), Sarroch"
Altre informazioni,Altre informazioni
Cod. postale,09050
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,092099
Cod. catastale,I118
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) sampietresi (SC) santuperdesus
Patrono,san Pietro
Cartografia,Cartografia
Villa San Pietro,Villa San Pietro
Villa San Pietro – MappaPosizione del comune di Villa San Pietro nella città metropolitana di Cagliari,Villa San Pietro – MappaPosizione del comune di Villa San Pietro nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
