Sarroch comune,Sarroch comune.1
(IT) Sarroch (SC) Sarrocu,(IT) Sarroch (SC) Sarrocu
,
Sarroch – Veduta,Sarroch – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Angelo Dessì (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°03′57.05″N 9°00′36.58″E
Altitudine,47 m s.l.m.
Superficie,"67,83 km²"
Abitanti,4 985[1] (30-11-2025)
Densità,"73,49 ab./km²"
Comuni confinanti,"Assemini (isola amministrativa di San Leone), Capoterra, Pula, Villa San Pietro"
Altre informazioni,Altre informazioni
Cod. postale,09018
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,092066
Cod. catastale,I443
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) sarrochesi (SC) sarrochesus
Cartografia,Cartografia
Sarroch,Sarroch
Sarroch – MappaPosizione del comune di Sarroch nella città metropolitana di Cagliari,Sarroch – MappaPosizione del comune di Sarroch nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
