Nuraminis comune,Nuraminis comune.1
(IT) Nuraminis (SC) Nuràminis,(IT) Nuraminis (SC) Nuràminis
,
Nuraminis – VedutaChiesa di San Pietro,Nuraminis – VedutaChiesa di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Stefano Anni (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°26′32.25″N 9°00′47.71″E
Altitudine,91 m s.l.m.
Superficie,"45,18 km²"
Abitanti,2 338[1] (30-11-2025)
Densità,"51,75 ab./km²"
Frazioni,Villagreca
Comuni confinanti,"Monastir, Samatzai, Serramanna (VS), Serrenti (VS), Ussana, Villasor"
Altre informazioni,Altre informazioni
Cod. postale,09024
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111047
Cod. catastale,F983
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) nuraminesi (SC) nuraminesus
Cartografia,Cartografia
Nuraminis,Nuraminis
Nuraminis – MappaPosizione del comune di Nuraminis nella città metropolitana di Cagliari,Nuraminis – MappaPosizione del comune di Nuraminis nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
