Genoni comune,Genoni comune.1
"(IT) Genoni (SC) Jaròi, Jeroi","(IT) Genoni (SC) Jaròi, Jeroi"
,
Genoni – Veduta,Genoni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Gianluca Serra (lista civica) dal 16-6-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,39°47′38.03″N 9°00′25.15″E
Altitudine,447 m s.l.m.
Superficie,"43,79 km²"
Abitanti,720[1] (30-11-2025)
Densità,"16,44 ab./km²"
Comuni confinanti,"Albagiara (OR), Assolo (OR), Genuri (VS), Gesturi (VS), Gonnosnò (OR), Laconi (OR), Nuragus, Nureci (OR), Setzu (VS), Sini (OR)"
Altre informazioni,Altre informazioni
Cod. postale,09054
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,111023
Cod. catastale,D968
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) genonesi (SC) jaroesus/geronesus
Patrono,santa Barbara
Giorno festivo,4 dicembre
Cartografia,Cartografia
Genoni,Genoni
Genoni – MappaPosizione del comune di Genoni nella città metropolitana di Cagliari,Genoni – MappaPosizione del comune di Genoni nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
