San Basilio comune,San Basilio comune.1
(IT) San Basilio (SC) Santu 'Asìli 'e Monti,(IT) San Basilio (SC) Santu 'Asìli 'e Monti
,
San Basilio – VedutaChiesa di San Pietro,San Basilio – VedutaChiesa di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Albino Porru (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,39°32′16.26″N 9°11′51.11″E
Altitudine,415 m s.l.m.
Superficie,"44,63 km²"
Abitanti,1 070[1] (30-11-2025)
Densità,"23,97 ab./km²"
Comuni confinanti,"San Nicolò Gerrei, Sant'Andrea Frius, Senorbì, Silius, Siurgus Donigala"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111061
Cod. catastale,H766
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) sanbasilesi (SC) santasilesus
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
San Basilio,San Basilio
San Basilio – MappaPosizione del comune di San Basilio nella città metropolitana di Cagliari,San Basilio – MappaPosizione del comune di San Basilio nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
