Sant'Andrea Frius comune,Sant'Andrea Frius comune.1
(IT) Sant'Andrea Frius (SC) Sant'Andrìa ’e Frìus,(IT) Sant'Andrea Frius (SC) Sant'Andrìa ’e Frìus
,
Sant'Andrea Frius – Veduta,Sant'Andrea Frius – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Simone Melis (lista civica) dal 6-6-2016 (2º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,39°28′41.79″N 9°10′10.07″E
Altitudine,280 m s.l.m.
Superficie,"36,16 km²"
Abitanti,1 658[1] (30-11-2025)
Densità,"45,85 ab./km²"
Comuni confinanti,"Barrali, Dolianova, Donori, Ortacesus, San Basilio, San Nicolò Gerrei, Senorbì, Serdiana"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111069
Cod. catastale,I271
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) santandriesi (SC) santandriesus
Patrono,sant'Andrea sant'Isidoro l'Agricoltore (compatrono)
Giorno festivo,30 novembre
Cartografia,Cartografia
Sant'Andrea Frius,Sant'Andrea Frius
Sant'Andrea Frius – MappaPosizione del comune di Sant'Andrea Frius nella città metropolitana di Cagliari,Sant'Andrea Frius – MappaPosizione del comune di Sant'Andrea Frius nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
