Guasila comune,Guasila comune.1
"(IT) Guasila (SC) Guasìba, Guasìlle","(IT) Guasila (SC) Guasìba, Guasìlle"
,
Guasila – Veduta,Guasila – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Paola Casula (lista civica) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,39°33′36.64″N 9°02′40.8″E
Altitudine,210 m s.l.m.
Superficie,"43,51 km²"
Abitanti,2 411[1] (30-11-2025)
Densità,"55,41 ab./km²"
Comuni confinanti,"Furtei (VS), Gesico, Guamaggiore, Ortacesus, Pimentel, Samatzai, Segariu (VS), Serrenti (VS), Villamar (VS), Villanovafranca (VS)"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111033
Cod. catastale,E252
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) guasilesi (SC) guasillesus
Patrono,Vergine Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Guasila,Guasila
Guasila – MappaPosizione del comune di Guasila nella città metropolitana di Cagliari,Guasila – MappaPosizione del comune di Guasila nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
