Quartu Sant'Elena comune,Quartu Sant'Elena comune.1
(IT) Quartu Sant'Elena (SC) Cuartu Sant'Alèni,(IT) Quartu Sant'Elena (SC) Cuartu Sant'Alèni
,
Quartu Sant'Elena – VedutaBasilica di Sant'Elena Imperatrice,Quartu Sant'Elena – VedutaBasilica di Sant'Elena Imperatrice
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Graziano Milia (liste civiche) dal 9-11-2020
Territorio,Territorio
Coordinate,39°14′28.86″N 9°11′02.11″E
Altitudine,6 m s.l.m.
Superficie,"96,41 km²"
Abitanti,67 890[1] (30-11-2025)
Densità,"704,18 ab./km²"
Frazioni,"Flumini di Quartu, Foxi, Geremeas, Margine Rosso, Capitana, Salmagi, Sant'Andrea, Terra Mala"
Comuni confinanti,"Cagliari, Maracalagonis, Monserrato, Quartucciu, Selargius"
Altre informazioni,Altre informazioni
Cod. postale,"09045, 09046"
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,092051
Cod. catastale,H118
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 931 GG[3]"
Nome abitanti,(IT) quartesi (SC) cuartesus
Patrono,Sant'Elena Imperatrice
Giorno festivo,21 maggio
Cartografia,Cartografia
Quartu Sant'Elena,Quartu Sant'Elena
Quartu Sant'Elena – MappaPosizione del comune di Quartu Sant'Elena nella città metropolitana di Cagliari,Quartu Sant'Elena – MappaPosizione del comune di Quartu Sant'Elena nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
