Isili comune,Isili comune.1
(IT) Isili (SC) Ìsili o Ìsi'i,(IT) Isili (SC) Ìsili o Ìsi'i
,
Isili – VedutaPanorama,Isili – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Luca Pilia (lista civica) dal 6-6-2016 (2º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,39°44′29.4″N 9°06′35″E
Altitudine,523 m s.l.m.
Superficie,"67,84 km²"
Abitanti,2 435[1] (30-11-2025)
Densità,"35,89 ab./km²"
Comuni confinanti,"Gergei, Gesturi, Laconi (OR), Nuragus, Nurallao, Nurri, Serri, Villanova Tulo"
Altre informazioni,Altre informazioni
Cod. postale,09056
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,111036
Cod. catastale,E336
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) isilesi (SC) isilesus
Patrono,san Saturnino
Giorno festivo,30 ottobre
Cartografia,Cartografia
Isili,Isili
Isili – MappaPosizione del comune di Isili nella città metropolitana di Cagliari,Isili – MappaPosizione del comune di Isili nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
