Selegas comune,Selegas comune.1
(IT) Selegas (SC) Sèligas,(IT) Selegas (SC) Sèligas
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Alessio Piras (lista civica) dal 6-6-2016 (2º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,39°34′02.36″N 9°06′14.62″E
Altitudine,234 m s.l.m.
Superficie,"20,39 km²"
Abitanti,1 254[1] (30-11-2025)
Densità,"61,5 ab./km²"
Frazioni,Seuni
Comuni confinanti,"Gesico, Guamaggiore, Ortacesus, Senorbì, Suelli"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111074
Cod. catastale,I582
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) seleghesi (SC) selighesus
Patrono,Sant'Anna
Cartografia,Cartografia
Selegas,Selegas
Selegas – MappaPosizione del comune di Selegas nella città metropolitana di Cagliari,Selegas – MappaPosizione del comune di Selegas nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
