San Sperate comune,San Sperate comune.1
(IT) San Sperate (SC) Santu Sparàu,(IT) San Sperate (SC) Santu Sparàu
,
San Sperate – VedutaChiesa di San Sperate,San Sperate – VedutaChiesa di San Sperate
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Fabrizio Madeddu (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,39°21′27.1″N 9°00′29.79″E
Altitudine,41 m s.l.m.
Superficie,"26,24 km²"
Abitanti,8 638[1] (30-11-2025)
Densità,"329,19 ab./km²"
Comuni confinanti,"Assemini, Decimomannu, Monastir, Sestu, Villasor"
Altre informazioni,Altre informazioni
Cod. postale,09026
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111065
Cod. catastale,I166
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) sansperatini (SC) sparadesus o speradesus
Patrono,san Sperate
Giorno festivo,17 luglio
Cartografia,Cartografia
San Sperate,San Sperate
San Sperate – MappaPosizione del comune di San Sperate nella città metropolitana di Cagliari,San Sperate – MappaPosizione del comune di San Sperate nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
