Nurri comune,Nurri comune.1
(IT) Nurri (SC) Nùrri,(IT) Nurri (SC) Nùrri
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Antonello Atzeni (lista civica) dal 30-5-2010 (3º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,39°42′40.61″N 9°13′49.45″E
Altitudine,612 m s.l.m.
Superficie,"73,67 km²"
Abitanti,1 989[1] (30-11-2025)
Densità,27 ab./km²
Comuni confinanti,"Esterzili, Isili, Mandas, Orroli, Sadali, Serri, Siurgus Donigala, Villanova Tulo"
Altre informazioni,Altre informazioni
Cod. postale,09059
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,111048
Cod. catastale,F986
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) nurresi (SC) nurresus
Patrono,San Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Nurri,Nurri
Nurri – MappaPosizione del comune di Nurri nella città metropolitana di Cagliari,Nurri – MappaPosizione del comune di Nurri nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
