Siurgus Donigala comune,Siurgus Donigala comune.1
(IT) Siurgus Donigala (SC) Seùrgus Donigàla,(IT) Siurgus Donigala (SC) Seùrgus Donigàla
,
Siurgus Donigala – VedutaChiesa di Santa Maria,Siurgus Donigala – VedutaChiesa di Santa Maria
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Antonello Perra (lista civica) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,39°36′00″N 9°11′16.2″E
Altitudine,452 m s.l.m.
Superficie,"76,39 km²"
Abitanti,1 822[1] (30-11-2025)
Densità,"23,85 ab./km²"
Comuni confinanti,"Goni, Mandas, Nurri, Orroli, San Basilio, Senorbì, Silius, Suelli"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111086
Cod. catastale,I765
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) siurgusdonigalesi (SC) sriughesus
Cartografia,Cartografia
Siurgus Donigala,Siurgus Donigala
Siurgus Donigala – MappaPosizione del comune di Siurgus Donigala nella città metropolitana di Cagliari,Siurgus Donigala – MappaPosizione del comune di Siurgus Donigala nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
