Goni comune,Goni comune.1
(IT) Goni (SC) Gòni,(IT) Goni (SC) Gòni
,
Goni – Veduta,Goni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Remo Ortu (Commissario straordinario) dal 10-05-2024
Territorio,Territorio
Coordinate,39°34′42.73″N 9°17′07.52″E
Altitudine,383 m s.l.m.
Superficie,"18,6 km²"
Abitanti,433[1] (30-11-2025)
Densità,"23,28 ab./km²"
Comuni confinanti,"Ballao, Escalaplano, Orroli, Silius, Siurgus Donigala"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111029
Cod. catastale,E084
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) gonesi (SC) gonesus
Patrono,san Giacomo apostolo
Giorno festivo,25 luglio
Cartografia,Cartografia
Goni,Goni
Goni – MappaPosizione del comune di Goni nella città metropolitana di Cagliari,Goni – MappaPosizione del comune di Goni nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
