Villanova Tulo comune,Villanova Tulo comune.1
(IT) Villanova Tulo (SC) Biddanòa 'e Tulu,(IT) Villanova Tulo (SC) Biddanòa 'e Tulu
,
Villanova Tulo – Veduta,Villanova Tulo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Alberto Loddo (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°46′49″N 9°12′47.81″E
Altitudine,600 m s.l.m.
Superficie,"40,45 km²"
Abitanti,983[1] (30-11-2025)
Densità,"24,3 ab./km²"
Comuni confinanti,"Gadoni (NU), Isili, Laconi (OR), Nurri, Sadali, Seulo (NU)"
Altre informazioni,Altre informazioni
Cod. postale,09066
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,111099
Cod. catastale,L992
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) villanovatulesi (SC) biddanoetulesus
Patrono,san Giuliano
Cartografia,Cartografia
Villanova Tulo,Villanova Tulo
Villanova Tulo – MappaPosizione del comune di Villanova Tulo nella città metropolitana di Cagliari,Villanova Tulo – MappaPosizione del comune di Villanova Tulo nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
