San Vito comune,San Vito comune.1
(IT) San Vito (SC) Santuidu,(IT) San Vito (SC) Santuidu
,
San Vito – VedutaVia Funtana Iri,San Vito – VedutaVia Funtana Iri
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Marco Antonio Siddi (lista civica) dal 6-6-2016 (2º mandato dal 12-10-2021[1])
Territorio,Territorio
Coordinate,39°26′30.82″N 9°32′25.53″E
Altitudine,10 m s.l.m.
Superficie,"231,64 km²"
Abitanti,3 409[2] (30-11-2025)
Densità,"14,72 ab./km²"
Frazioni,"San Priamo, Tuerra I, Tuerra II, Brecca, San Salvatore"
Comuni confinanti,"Castiadas, Muravera, Burcei, Villaputzu, Villasalto, Sinnai"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111066
Cod. catastale,I402
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Nome abitanti,(IT) sanvitesi (SC) santuidesus
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
San Vito,San Vito
San Vito – MappaPosizione del comune di San Vito nella città metropolitana di Cagliari,San Vito – MappaPosizione del comune di San Vito nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
