San Nicolò Gerrei comune,San Nicolò Gerrei comune.1
"(IT) San Nicolò Gerrei (SC) Paùli Gerrei, Paùli Xrexèi","(IT) San Nicolò Gerrei (SC) Paùli Gerrei, Paùli Xrexèi"
,
San Nicolò Gerrei – VedutaChiesa di San Nicola,San Nicolò Gerrei – VedutaChiesa di San Nicola
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Stefano Soro (lista civica) dal 6-6-2016 (2º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,39°29′50.11″N 9°18′21.06″E
Altitudine,365 m s.l.m.
Superficie,"63,52 km²"
Abitanti,710[1] (30-11-2025)
Densità,"11,18 ab./km²"
Comuni confinanti,"Armungia, Ballao, Dolianova, San Basilio, Sant'Andrea Frius, Silius, Villasalto"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111064
Cod. catastale,G383
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) paulesi (SC) paulesus
Cartografia,Cartografia
San Nicolò Gerrei,San Nicolò Gerrei
San Nicolò Gerrei – MappaPosizione del comune di San Nicolò Gerrei nella città metropolitana di Cagliari,San Nicolò Gerrei – MappaPosizione del comune di San Nicolò Gerrei nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
