Serri comune,Serri comune.1
"(IT, SC) Serri","(IT, SC) Serri"
,
Serri – Veduta,Serri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Samuele Antonio Gaviano (lista civica) dal 10-6-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,39°42′05.07″N 9°08′40.93″E
Altitudine,640 m s.l.m.
Superficie,"19,18 km²"
Abitanti,589[1] (30-11-2025)
Densità,"30,71 ab./km²"
Comuni confinanti,"Escolca, Gergei, Isili, Mandas, Nurri"
Altre informazioni,Altre informazioni
Cod. postale,09063
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,111079
Cod. catastale,I668
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) serresi (SC) serresus
Patrono,san Basilio Magno
Giorno festivo,1º settembre
Cartografia,Cartografia
Serri,Serri
Serri – MappaPosizione del comune di Serri nella città metropolitana di Cagliari,Serri – MappaPosizione del comune di Serri nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
