Domus de Maria comune,Domus de Maria comune.1
,
Domus de Maria – VedutaLa torre aragonese,Domus de Maria – VedutaLa torre aragonese
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Maria Concetta Spada (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,38°56′36.8″N 8°51′46.36″E
Altitudine,66 m s.l.m.
Superficie,"97,14 km²"
Abitanti,1 637[1] (30-11-2025)
Densità,"16,85 ab./km²"
Frazioni,"Chia, Capo Spartivento"
Comuni confinanti,"Pula, Santadi (CI), Teulada"
Altre informazioni,Altre informazioni
Cod. postale,09010
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111015
Cod. catastale,D333
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) mariesi (SC) mariesus
Patrono,"Madonna del Rosario, Spirito Santo[senza fonte]"
Cartografia,Cartografia
Domus de Maria,Domus de Maria
Domus de Maria – MappaPosizione del comune di Domus de Maria nella città metropolitana di Cagliari,Domus de Maria – MappaPosizione del comune di Domus de Maria nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
