Gesico comune,Gesico comune.1
(IT) Gesico (SC) Gèsigu,(IT) Gesico (SC) Gèsigu
,
Gesico – Veduta,Gesico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Terenzio Schirru (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°36′56.07″N 9°06′26.82″E
Altitudine,300 m s.l.m.
Superficie,"25,62 km²"
Abitanti,698[1] (30-11-2025)
Densità,"27,24 ab./km²"
Comuni confinanti,"Escolca (isola amministrativa di San Simone), Guamaggiore, Guasila, Mandas, Selegas, Suelli, Villanovafranca (VS)"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111026
Cod. catastale,D994
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) gesichesi (SC) gesighesus
Cartografia,Cartografia
Gesico,Gesico
Gesico – MappaPosizione del comune di Gesico nella città metropolitana di Cagliari,Gesico – MappaPosizione del comune di Gesico nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
