Settimo San Pietro comune,Settimo San Pietro comune.1
(IT) Settimo San Pietro (SC) Sètimu,(IT) Settimo San Pietro (SC) Sètimu
,
Settimo San Pietro – VedutaVeduta di Settimo San Pietro,Settimo San Pietro – VedutaVeduta di Settimo San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Gian Luigi Puddu (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,39°17′27.6″N 9°11′06.93″E
Altitudine,70 m s.l.m.
Superficie,"23,29 km²"
Abitanti,6 977[1] (30-11-2025)
Densità,"299,57 ab./km²"
Comuni confinanti,"Sinnai, Quartucciu, Selargius, Serdiana, Sestu, Soleminis"
Altre informazioni,Altre informazioni
Cod. postale,09060
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,092075
Cod. catastale,I699
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) settimesi (SC) setimesus
Patrono,san Pietro
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Settimo San Pietro,Settimo San Pietro
Settimo San Pietro – MappaPosizione del comune di Settimo San Pietro nella città metropolitana di Cagliari,Settimo San Pietro – MappaPosizione del comune di Settimo San Pietro nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
