Uta comune,Uta comune.1
(IT) Uta (SC) Uda,(IT) Uta (SC) Uda
,
Uta – VedutaLa chiesa di Santa Maria,Uta – VedutaLa chiesa di Santa Maria
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Giacomo Porcu (lista civica)
Territorio,Territorio
Coordinate,39°17′18.03″N 8°57′27.48″E
Altitudine,6 m s.l.m.
Superficie,"134,71 km²"
Abitanti,8 902[1] (30-11-2025)
Densità,"66,08 ab./km²"
Frazioni,"Bascus Argius, Case Minola, Is Perrizzonis, Is Prunixeddas, Macchiareddu (condivisa con i comuni di Assemini e Capoterra), Santa Porada"
Comuni confinanti,"Assemini, Capoterra, Decimomannu, Siliqua, Villaspeciosa"
Altre informazioni,Altre informazioni
Cod. postale,09068
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,092090
Cod. catastale,L521
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) utesi (SC) udesus
Patrono,santa Giusta
Giorno festivo,14 maggio
Cartografia,Cartografia
Uta,Uta
Uta – MappaPosizione del comune di Uta nella città metropolitana di Cagliari,Uta – MappaPosizione del comune di Uta nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
