Soleminis comune,Soleminis comune.1
(IT) Soleminis (SC) Solèminis,(IT) Soleminis (SC) Solèminis
,
Soleminis – VedutaChiesa di San Giacomo Apostolo,Soleminis – VedutaChiesa di San Giacomo Apostolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Claudio Suergiu (lista civica) dal 09-06-2025
Territorio,Territorio
Coordinate,39°20′49.95″N 9°10′52.87″E
Altitudine,200 m s.l.m.
Superficie,"12,79 km²"
Abitanti,1 905[1] (30-11-2025)
Densità,"148,94 ab./km²"
Comuni confinanti,"Dolianova, Serdiana, Settimo San Pietro, Sinnai"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111087
Cod. catastale,I797
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) soleminesi (SC) soleminesus
Patrono,san Giacomo
Cartografia,Cartografia
Soleminis,Soleminis
Soleminis – MappaPosizione del comune di Soleminis nella città metropolitana di Cagliari,Soleminis – MappaPosizione del comune di Soleminis nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
