Dolianova comune,Dolianova comune.1
(IT) Dolianova (SC) Patiòlla,(IT) Dolianova (SC) Patiòlla
,
Dolianova – VedutaFacciata principale della chiesa di San Pantaleo,Dolianova – VedutaFacciata principale della chiesa di San Pantaleo
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Ivan Piras (lista civica) dal 31-05-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,39°22′42.59″N 9°10′42.21″E
Altitudine,212[1] m s.l.m.
Superficie,"84,31 km²"
Abitanti,9 370[2] (30-11-2025)
Densità,"111,14 ab./km²"
Comuni confinanti,"San Nicolò Gerrei, Sant'Andrea Frius, Serdiana, Sinnai, Soleminis, Villasalto"
Altre informazioni,Altre informazioni
Cod. postale,09041
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111014
Cod. catastale,D323
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Nome abitanti,(IT) doliensi (SC) patiollesus
Patrono,"san Pantaleo, san Biagio (zona di Sicci)"
Cartografia,Cartografia
Dolianova,Dolianova
Dolianova – MappaPosizione del comune di Dolianova nella città metropolitana di Cagliari,Dolianova – MappaPosizione del comune di Dolianova nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
