Pula comune,Pula comune.1
(IT) Pula (SC) Pùla,(IT) Pula (SC) Pùla
,
Pula – VedutaVia del paese,Pula – VedutaVia del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Walter Cabasino (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,39°00′34.01″N 9°00′01.98″E
Altitudine,10 m s.l.m.
Superficie,"138,92 km²"
Abitanti,7 051[1] (30-11-2025)
Densità,"50,76 ab./km²"
Frazioni,"Santa Margherita di Pula, Is Molas"
Comuni confinanti,"Domus de Maria, Santadi (CI), Sarroch, Teulada, Villa San Pietro"
Altre informazioni,Altre informazioni
Cod. postale,09050
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,092050
Cod. catastale,H088
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) pulesi (SC) pulesus
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Pula,Pula
Pula – MappaPosizione del comune di Pula nella città metropolitana di Cagliari,Pula – MappaPosizione del comune di Pula nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
