Maracalagonis comune,Maracalagonis comune.1
,
Maracalagonis – VedutaChiesa della Vergine degli Angeli,Maracalagonis – VedutaChiesa della Vergine degli Angeli
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Francesca Fadda (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°17′10.38″N 9°13′43.89″E
Altitudine,82 m s.l.m.
Superficie,"101,37 km²"
Abitanti,7 894[1] (30-11-2025)
Densità,"77,87 ab./km²"
Frazioni,"Torre delle Stelle, San Gregorio, San Basilio, Villaggio delle Mimose, Monte Cresia"
Comuni confinanti,"Sinnai, Quartu Sant'Elena, Quartucciu, Villasimius, Castiadas"
Altre informazioni,Altre informazioni
Cod. postale,09069
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,092037
Cod. catastale,E903
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 939 GG[3]"
Nome abitanti,(IT) maresi (SC) maresus
Patrono,santo Stefano di Calagonis
Giorno festivo,5 luglio
Cartografia,Cartografia
Maracalagonis,Maracalagonis
Maracalagonis – MappaPosizione del comune di Maracalagonis nella città metropolitana di Cagliari,Maracalagonis – MappaPosizione del comune di Maracalagonis nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
