Ortacesus comune,Ortacesus comune.1
(IT) Ortacesus (SC) Ortacèsus,(IT) Ortacesus (SC) Ortacèsus
,
Ortacesus – VedutaFonte bizantina di Sa Mitza'e s'Orru',Ortacesus – VedutaFonte bizantina di Sa Mitza'e s'Orru'
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Maria Carmela Lecca (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°32′18.49″N 9°05′02.93″E
Altitudine,161 m s.l.m.
Superficie,"23,63 km²"
Abitanti,863[1] (30-11-2025)
Densità,"36,52 ab./km²"
Comuni confinanti,"Barrali, Guamaggiore, Guasila, Pimentel, Sant'Andrea Frius, Selegas, Senorbì"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111051
Cod. catastale,G133
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) ortacesini (SC) ortacesinus
Cartografia,Cartografia
Ortacesus,Ortacesus
Ortacesus – MappaPosizione del comune di Ortacesus nella città metropolitana di Cagliari,Ortacesus – MappaPosizione del comune di Ortacesus nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
