Silius comune,Silius comune.1
"(IT, SC) Silius","(IT, SC) Silius"
,
Silius – VedutaChiesa delle Sante Perpetua e Felicita,Silius – VedutaChiesa delle Sante Perpetua e Felicita
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Antonio Forci (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°31′00.79″N 9°17′37.8″E
Altitudine,585 m s.l.m.
Superficie,"38,36 km²"
Abitanti,990[1] (30-11-2025)
Densità,"25,81 ab./km²"
Comuni confinanti,"Ballao, Goni, San Basilio, San Nicolò Gerrei, Siurgus Donigala"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111085
Cod. catastale,I735
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) siliesi (SC) siliesus
Patrono,sante Perpetua e Felicita
Cartografia,Cartografia
Silius,Silius
Silius – MappaPosizione del comune di Silius nella città metropolitana di Cagliari,Silius – MappaPosizione del comune di Silius nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
