Samatzai comune,Samatzai comune.1
(IT) Samatzai (SC) Samatzài,(IT) Samatzai (SC) Samatzài
,
Samatzai – VedutaChiesa di San Giovanni Battista,Samatzai – VedutaChiesa di San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Città metropolitana,Cagliari
Amministrazione,Amministrazione
Sindaco,Enrico Cocco (lista civica) dal 16-6-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,39°28′52.04″N 9°02′12.68″E
Altitudine,174 m s.l.m.
Superficie,"31,16 km²"
Abitanti,1 500[1] (30-11-2025)
Densità,"48,14 ab./km²"
Comuni confinanti,"Barrali, Donori, Guasila, Nuraminis, Pimentel, Serrenti (VS), Ussana"
Altre informazioni,Altre informazioni
Cod. postale,09020
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,111060
Cod. catastale,H739
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) samatzesi (SC) samatzesus
Patrono,San Giovanni Battista
Cartografia,Cartografia
Samatzai,Samatzai
Samatzai – MappaPosizione del comune di Samatzai nella città metropolitana di Cagliari,Samatzai – MappaPosizione del comune di Samatzai nella città metropolitana di Cagliari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
