Ponderano comune,Ponderano comune.1
,
Ponderano – Veduta,Ponderano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Roberto Locca (lista civica Uniti per Ponderano) dal 26-5-2019
Territorio,Territorio
Coordinate,45°31′44.62″N 8°03′03.58″E
Altitudine,357 m s.l.m.
Superficie,"7,05 km²"
Abitanti,3 614[1] (30-11-2025)
Densità,"512,62 ab./km²"
Comuni confinanti,"Biella, Borriana, Gaglianico, Mongrando, Occhieppo Inferiore, Sandigliano"
Altre informazioni,Altre informazioni
Cod. postale,13875
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096047
Cod. catastale,G820
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 691 GG[3]"
Nome abitanti,ponderanesi
Patrono,san Lorenzo
Cartografia,Cartografia
Ponderano,Ponderano
Ponderano – Mappa,Ponderano – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
