Castelletto Cervo comune,Castelletto Cervo comune.1
,
Castelletto Cervo – VedutaVeduta,Castelletto Cervo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Omar Giletti (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°31′05.64″N 8°14′25.29″E
Altitudine,216 m s.l.m.
Superficie,"14,9 km²"
Abitanti,758[1] (30-11-2025)
Densità,"50,87 ab./km²"
Comuni confinanti,"Buronzo (VC), Gifflenga, Lessona, Masserano, Mottalciata"
Altre informazioni,Altre informazioni
Cod. postale,13851
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,096015
Cod. catastale,C155
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 585 GG[3]"
Nome abitanti,castellettesi
Patrono,"santi Pietro, Paolo e Tommaso"
Cartografia,Cartografia
Castelletto Cervo,Castelletto Cervo
Castelletto Cervo – Mappa,Castelletto Cervo – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
