Salussola comune,Salussola comune.1
,
Salussola – Vedutail paese visto da fraz. San Damiano (Carisio),Salussola – Vedutail paese visto da fraz. San Damiano (Carisio)
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Manuela Chioda (lista civica Uniti per Salussola) dal 22-9-2020
Territorio,Territorio
Coordinate,45°27′N 8°07′E
Altitudine,289 m s.l.m.
Superficie,"38,52 km²"
Abitanti,1 832[1] (30-11-2025)
Densità,"47,56 ab./km²"
Frazioni,"Arro, San Secondo, Vigellio"
Comuni confinanti,"Carisio (VC), Cavaglià, Cerrione, Dorzano, Massazza, Roppolo, Verrone, Villanova Biellese"
Altre informazioni,Altre informazioni
Cod. postale,13885
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,096058
Cod. catastale,H726
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 680 GG[3]"
Nome abitanti,salussolesi
Patrono,patrono del Comune: Beato Pietro Levita
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Salussola,Salussola
Salussola – Mappa,Salussola – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
