Villa del Bosco comune,Villa del Bosco comune.1
,
Villa del Bosco – VedutaPanorama,Villa del Bosco – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Alessandro Todaro (lista civica Bilancia) dall'8-6-2009
Territorio,Territorio
Coordinate,45°37′13.8″N 8°16′50.88″E
Altitudine,293 m s.l.m.
Superficie,"3,7 km²"
Abitanti,305[1] (30-11-2025)
Densità,"82,43 ab./km²"
Frazioni,"Ferracane, Orbello"
Comuni confinanti,"Curino, Lozzolo (VC), Roasio (VC), Sostegno"
Altre informazioni,Altre informazioni
Cod. postale,"13868, 13060 (fino al 1997)"
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,096078
Cod. catastale,L933
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 541 GG[3]"
Nome abitanti,villadelboschesi
Cartografia,Cartografia
Villa del Bosco,Villa del Bosco
Villa del Bosco – Mappa,Villa del Bosco – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
