Portula comune,Portula comune.1
,
Portula – VedutaVeduta,Portula – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Fabrizio Calcia Ros (lista civica Portula riparte) dal 25-5-2014
Territorio,Territorio
Coordinate,45°40′29.14″N 8°10′46.05″E
Altitudine,638 m s.l.m.
Superficie,"11,31 km²"
Abitanti,1 082[1] (30-11-2025)
Densità,"95,67 ab./km²"
Frazioni,"Allera, Boera, Camusso, Castagnea, Chiesa, Chignolo, Chiosasco, Fagnola, Galfione, Gila, Granero, Gruppaiolo, Masseranga, Regione la Piana, Roppolo, Rossato, Scaglia, Scoldo, Solivo"
Comuni confinanti,"Caprile, Coggiola, Pray, Valdilana"
Altre informazioni,Altre informazioni
Cod. postale,13833
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096048
Cod. catastale,G927
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 129 GG[3]"
Nome abitanti,portulesi
Patrono,Immacolata Concezione della Madonna
Giorno festivo,8 dicembre
Cartografia,Cartografia
Portula,Portula
Portula – Mappa,Portula – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
